Jurisdiction,Year,Industry,Unit,Quantity
NSW,1979,Manufacturing,PJ,363.2
NSW,1979,Mining,PJ,7.5
NSW,1979,Other,PJ,19.4
NSW,1979,Residential,PJ,78.5
NSW,1979,Total,PJ,1059
NSW,1979,Transport,PJ,283.9
NSW,1979,Water and waste,PJ,2.3
NSW,1980,Agriculture,PJ,10.4
NSW,1980,Commercial and services,PJ,35.7
NSW,1980,Construction,PJ,6.6
NSW,1980,Electricity generation,PJ,259.3
NSW,1980,Manufacturing,PJ,351.2
NSW,1980,Mining,PJ,8.1
NSW,1980,Other,PJ,18.3
NSW,1980,Residential,PJ,78.6
NSW,1980,Total,PJ,1060.4
NSW,1980,Transport,PJ,289.9
NSW,1980,Water and waste,PJ,2.3
NSW,1981,Agriculture,PJ,12.5
NSW,1981,Commercial and services,PJ,36
NSW,1981,Construction,PJ,4.9
NSW,1981,Electricity generation,PJ,259.9
NSW,1981,Manufacturing,PJ,361.5
NSW,1981,Mining,PJ,8.6
NSW,1981,Other,PJ,18.5
NSW,1981,Residential,PJ,81
NSW,1981,Total,PJ,1077.8
NSW,1981,Transport,PJ,292.8
NSW,1981,Water and waste,PJ,2.1
NSW,1982,Agriculture,PJ,8.3
NSW,1982,Commercial and services,PJ,34.8
NSW,1982,Construction,PJ,3.5
NSW,1982,Electricity generation,PJ,266.6
NSW,1982,Manufacturing,PJ,299
NSW,1982,Mining,PJ,8.9
NSW,1982,Other,PJ,17.2
NSW,1982,Residential,PJ,80.6
NSW,1982,Total,PJ,1002.5
NSW,1982,Transport,PJ,281.6
NSW,1982,Water and waste,PJ,2
NSW,1983,Agriculture,PJ,10.9
NSW,1983,Commercial and services,PJ,35.4
NSW,1983,Construction,PJ,3.4
NSW,1983,Electricity generation,PJ,275.6
NSW,1983,Manufacturing,PJ,311.2
NSW,1983,Mining,PJ,8.5
NSW,1983,Other,PJ,19.4
NSW,1983,Residential,PJ,81.9
NSW,1983,Total,PJ,1045.6
NSW,1983,Transport,PJ,297.3
NSW,1983,Water and waste,PJ,2
NSW,1984,Agriculture,PJ,10.4
NSW,1984,Commercial and services,PJ,36.5
NSW,1984,Construction,PJ,5
NSW,1984,Electricity generation,PJ,288.8
NSW,1984,Manufacturing,PJ,324.1
NSW,1984,Mining,PJ,8.6
NSW,1984,Other,PJ,18.9
NSW,1984,Residential,PJ,84.1
NSW,1984,Total,PJ,1080.3
NSW,1984,Transport,PJ,302
NSW,1984,Water and waste,PJ,1.9
NSW,1985,Agriculture,PJ,10.6
NSW,1985,Commercial and services,PJ,38.9
NSW,1985,Construction,PJ,7.8
NSW,1985,Electricity generation,PJ,300.2
NSW,1985,Manufacturing,PJ,326.4
NSW,1985,Mining,PJ,9.7
NSW,1985,Other,PJ,19.8
NSW,1985,Residential,PJ,88.2
