LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
45680,Playford (C),Residential Capacity (MW),344460
36070,Pormpuraaw (S),Residential Capacity (MW),3010
45890,Port Adelaide Enfield (C),Residential Capacity (MW),0
46090,Port Augusta (C),Residential Capacity (MW),272
57280,Port Hedland (T),Residential Capacity (MW),13309
46300,Port Lincoln (C),Residential Capacity (MW),5452
16380,Port Macquarie-Hastings (A),Residential Capacity (MW),105640
25900,Port Phillip (C),Residential Capacity (MW),0
46450,Port Pirie City and Dists (M),Residential Capacity (MW),48497
16400,Port Stephens (A),Residential Capacity (MW),118048
46510,Prospect (C),Residential Capacity (MW),0
25990,Pyrenees (S),Residential Capacity (MW),66846
57350,Quairading (S),Residential Capacity (MW),21711
16490,Queanbeyan-Palerang Regional (A),Residential Capacity (MW),94214
26080,Queenscliffe (B),Residential Capacity (MW),2758
36150,Quilpie (S),Residential Capacity (MW),15668
16550,Randwick (C),Residential Capacity (MW),158
57420,Ravensthorpe (S),Residential Capacity (MW),30215
36250,Redland (C),Residential Capacity (MW),46200
46670,Renmark Paringa (DC),Residential Capacity (MW),63076
36300,Richmond (S),Residential Capacity (MW),12749
16610,Richmond Valley (A),Residential Capacity (MW),108615
46860,Robe (DC),Residential Capacity (MW),9221
16650,Rockdale (C),Residential Capacity (MW),4823
36370,Rockhampton (R),Residential Capacity (MW),194837
57490,Rockingham (C),Residential Capacity (MW),56583
73600,Roper Gulf (R),Residential Capacity (MW),4296
46970,Roxby Downs (M),Residential Capacity (MW),0
16700,Ryde (C),Residential Capacity (MW),73
47140,Salisbury (C),Residential Capacity (MW),150920
57630,Sandstone (S),Residential Capacity (MW),2724
36510,Scenic Rim (R),Residential Capacity (MW),222408
57700,Serpentine-Jarrahdale (S),Residential Capacity (MW),176416
57770,Shark Bay (S),Residential Capacity (MW),2726
16900,Shellharbour (C),Residential Capacity (MW),13122
16950,Shoalhaven (C),Residential Capacity (MW),141504
17000,Singleton (A),Residential Capacity (MW),138907
17040,Snowy Monaro Regional (A),Residential Capacity (MW),113938
17080,Snowy Valleys (A),Residential Capacity (MW),105263
36580,Somerset (R),Residential Capacity (MW),204885
64810,Sorell (M),Residential Capacity (MW),27532
36630,South Burnett (R),Residential Capacity (MW),207022
26170,South Gippsland (S),Residential Capacity (MW),232851
57840,South Perth (C),Residential Capacity (MW),0
36660,Southern Downs (R),Residential Capacity (MW),236351
26260,Southern Grampians (S),Residential Capacity (MW),151881
47290,Southern Mallee (DC),Residential Capacity (MW),50704
65010,Southern Midlands (M),Residential Capacity (MW),45250
57910,Stirling (C),Residential Capacity (MW),0
26350,Stonnington (C),Residential Capacity (MW),0
26430,Strathbogie (S),Residential Capacity (MW),125725
17100,Strathfield (A),Residential Capacity (MW),0
47490,Streaky Bay (DC),Residential Capacity (MW),29639
57980,Subiaco (C),Residential Capacity (MW),0
36720,Sunshine Coast (R),Residential Capacity (MW),412889
26490,Surf Coast (S),Residential Capacity (MW),82878
17150,Sutherland Shire (A),Residential Capacity (MW),301788
58050,Swan (C),Residential Capacity (MW),151329
26610,Swan Hill (RC),Residential Capacity (MW),155902
17200,Sydney (C),Residential Capacity (MW),0
36820,Tablelands (R),Residential Capacity (MW),150931
58190,Tammin (S),Residential Capacity (MW),12929
17310,Tamworth Regional (A),Residential Capacity (MW),276233
65210,Tasman (M),Residential Capacity (MW),20241
47630,Tatiara (DC),Residential Capacity (MW),90815
47700,Tea Tree Gully (C),Residential Capacity (MW),1654
17350,Temora (A),Residential Capacity (MW),68568
17400,Tenterfield (A),Residential Capacity (MW),60534
47800,The Coorong (DC),Residential Capacity (MW),100723
17420,The Hills Shire (A),Residential Capacity (MW),79761
58260,Three Springs (S),Residential Capacity (MW),15424
74050,Tiwi Islands (R),Residential Capacity (MW),2873
58330,Toodyay (S),Residential Capacity (MW),35621
36910,Toowoomba (R),Residential Capacity (MW),505305
36950,Torres (S),Residential Capacity (MW),0
36960,Torres Strait Island (R),Residential Capacity (MW),0
37010,Townsville (C),Residential Capacity (MW),136743
26670,Towong (S),Residential Capacity (MW),62963
58400,Trayning (S),Residential Capacity (MW),12348
47910,Tumby Bay (DC),Residential Capacity (MW),20578
17550,Tweed (A),Residential Capacity (MW),128179
99399,Unincorp. Other Territories,Residential Capacity (MW),606
89399,Unincorporated ACT,Residential Capacity (MW),3198
19399,Unincorporated NSW,Residential Capacity (MW),1397
79399,Unincorporated NT,Residential Capacity (MW),4773
49399,Unincorporated SA,Residential Capacity (MW),3191
29399,Unincorporated Vic,Residential Capacity (MW),7097
47980,Unley (C),Residential Capacity (MW),0
58470,Upper Gascoyne (S),Residential Capacity (MW),0
17620,Upper Hunter Shire (A),Residential Capacity (MW),121056
17640,Upper Lachlan Shire (A),Residential Capacity (MW),99543
17650,Uralla (A),Residential Capacity (MW),52067
48050,Victor Harbor (C),Residential Capacity (MW),20907
74550,Victoria Daly (R),Residential Capacity (MW),2728
58510,Victoria Park (T),Residential Capacity (MW),0
58540,Victoria Plains (S),Residential Capacity (MW),38115
58570,Vincent (C),Residential Capacity (MW),0
74560,Wagait (S),Residential Capacity (MW),414
17750,Wagga Wagga (C),Residential Capacity (MW),166240
58610,Wagin (S),Residential Capacity (MW),33588
48130,Wakefield (DC),Residential Capacity (MW),111471
17850,Walcha (A),Residential Capacity (MW),52399
17900,Walgett (A),Residential Capacity (MW),77092
48260,Walkerville (M),Residential Capacity (MW),0
58680,Wandering (S),Residential Capacity (MW),8938
26700,Wangaratta (RC),Residential Capacity (MW),151364
58760,Wanneroo (C),Residential Capacity (MW),109911
65410,Waratah/Wynyard (M),Residential Capacity (MW),61278
58820,Waroona (S),Residential Capacity (MW),18447
17950,Warren (A),Residential Capacity (MW),29444
26730,Warrnambool (C),Residential Capacity (MW),28569
18020,Warrumbungle Shire (A),Residential Capacity (MW),116761
48340,Wattle Range (DC),Residential Capacity (MW),99886
18050,Waverley (A),Residential Capacity (MW),0
18100,Weddin (A),Residential Capacity (MW),52792
37300,Weipa (T),Residential Capacity (MW),6103
26810,Wellington (S),Residential Capacity (MW),217086
18200,Wentworth (A),Residential Capacity (MW),62978
74660,West Arnhem (R),Residential Capacity (MW),5677
58890,West Arthur (S),Residential Capacity (MW),24577
65610,West Coast (M),Residential Capacity (MW),11974
74680,West Daly (R),Residential Capacity (MW),2841
65810,West Tamar (M),Residential Capacity (MW),35651
48410,West Torrens (C),Residential Capacity (MW),0
26890,West Wimmera (S),Residential Capacity (MW),84243
37310,Western Downs (R),Residential Capacity (MW),348553
18230,Western Plains Regional (A),Residential Capacity (MW),146367
59030,Westonia (S),Residential Capacity (MW),160
