LGA_CODE_2016,LGA_NAME_2016,Residential Capacity (MW),Rural / Primacy Production Capacity (MW),Industrial Capacity (MW),Commercial Capacity (MW),Mixed Capacity (MW),,,,,
45680,Playford (C),344460,0,25045,8858,6031,,,,,
36070,Pormpuraaw (S),3010,8,53,178,19,,,,,
45890,Port Adelaide Enfield (C),0,0,8627,2191,5117,,,,,
46090,Port Augusta (C),272,91,565,6012,3317,,,,,
57280,Port Hedland (T),13309,10800,170,7273,1786,,,,,
46300,Port Lincoln (C),5452,0,433,0,1396,,,,,
16380,Port Macquarie-Hastings (A),105640,0,2853,2269,3751,,,,,
25900,Port Phillip (C),0,66017,14387,5084,7420,,,,,
46450,Port Pirie City and Dists (M),48497,0,7120,3891,0,,,,,
16400,Port Stephens (A),118048,2174,640,5483,20144,,,,,
46510,Prospect (C),0,0,1131,508,6,,,,,
25990,Pyrenees (S),66846,595,170,1034,787,,,,,
57350,Quairading (S),21711,0,302,1250,325,,,,,
16490,Queanbeyan-Palerang Regional (A),94214,0,4649,1563,1179,,,,,
26080,Queenscliffe (B),2758,580,420,663,1068,,,,,
36150,Quilpie (S),15668,0,8280,0,393,,,,,
16550,Randwick (C),158,11137,593,39675,7328,,,,,
57420,Ravensthorpe (S),30215,1567,16,953,1279,,,,,
36250,Redland (C),46200,4078,0,43646,7216,,,,,
46670,Renmark Paringa (DC),63076,0,1570,3714,427,,,,,
36300,Richmond (S),12749,0,83,1050,170,,,,,
16610,Richmond Valley (A),108615,0,11,1231,3582,,,,,
46860,Robe (DC),9221,0,602,94,529,,,,,
16650,Rockdale (C),4823,0,16466,7862,3459,,,,,
36370,Rockhampton (R),194837,36735,12980,5293,2792,,,,,
57490,Rockingham (C),56583,412615,0,12866,3281,,,,,
73600,Roper Gulf (R),4296,865,0,1051,374,,,,,
46970,Roxby Downs (M),0,0,0,0,0,,,,,
16700,Ryde (C),73,0,40376,33758,3785,,,,,
47140,Salisbury (C),150920,0,3875,845,3278,,,,,
57630,Sandstone (S),2724,0,1495,69,732,,,,,
36510,Scenic Rim (R),222408,614,14772,19346,872,,,,,
57700,Serpentine-Jarrahdale (S),176416,147709,0,1901,2409,,,,,
57770,Shark Bay (S),2726,3908,3,495,511,,,,,
16900,Shellharbour (C),13122,0,338,4352,10822,,,,,
16950,Shoalhaven (C),141504,0,17873,22896,16698,,,,,
17000,Singleton (A),138907,0,5322,649,1815,,,,,
17040,Snowy Monaro Regional (A),113938,0,4065,624,1631,,,,,
17080,Snowy Valleys (A),105263,0,86,46,1028,,,,,
36580,Somerset (R),204885,1169,8833,5855,11001,,,,,
64810,Sorell (M),27532,308,917,2499,301,,,,,
36630,South Burnett (R),207022,1430,10220,9399,2855,,,,,
26170,South Gippsland (S),232851,140,76,487,1206,,,,,
57840,South Perth (C),0,5469,3661,3993,659,,,,,
36660,Southern Downs (R),236351,13,15878,15088,544,,,,,
26260,Southern Grampians (S),151881,278,0,121,995,,,,,
47290,Southern Mallee (DC),50704,0,1985,1994,0,,,,,
65010,Southern Midlands (M),45250,402,7430,2159,377,,,,,
57910,Stirling (C),0,117493,2657,14838,5852,,,,,
26350,Stonnington (C),0,938,5337,11488,4069,,,,,
26430,Strathbogie (S),125725,1083,0,1121,350,,,,,
17100,Strathfield (A),0,0,6123,668,752,,,,,
47490,Streaky Bay (DC),29639,0,5686,0,1024,,,,,
57980,Subiaco (C),0,3729,1706,1919,354,,,,,
36720,Sunshine Coast (R),412889,31020,144815,35958,11822,,,,,
26490,Surf Coast (S),82878,14423,4,617,2198,,,,,
17150,Sutherland Shire (A),301788,0,1748,37458,9269,,,,,
58050,Swan (C),151329,349727,1006,11413,2137,,,,,
26610,Swan Hill (RC),155902,506,0,7625,4426,,,,,
17200,Sydney (C),0,1182,127916,27064,5748,,,,,
36820,Tablelands (R),150931,3835,12082,12923,3226,,,,,
58190,Tammin (S),12929,0,0,251,216,,,,,
17310,Tamworth Regional (A),276233,0,12331,1691,4859,,,,,
65210,Tasman (M),20241,0,8,1069,151,,,,,
47630,Tatiara (DC),90815,0,3632,5117,51,,,,,
47700,Tea Tree Gully (C),1654,0,1859,5298,1308,,,,,
17350,Temora (A),68568,0,3661,516,1422,,,,,
17400,Tenterfield (A),60534,0,32,1173,50,,,,,
47800,The Coorong (DC),100723,0,8806,2894,137,,,,,
17420,The Hills Shire (A),79761,0,10749,7141,6709,,,,,
58260,Three Springs (S),15424,0,0,780,273,,,,,
74050,Tiwi Islands (R),2873,285,0,582,217,,,,,
58330,Toodyay (S),35621,1495,0,816,972,,,,,
36910,Toowoomba (R),505305,59150,304599,33268,43299,,,,,
36950,Torres (S),0,0,0,0,0,,,,,
36960,Torres Strait Island (R),0,0,0,0,0,,,,,
37010,Townsville (C),136743,47806,3942,79841,157253,,,,,
26670,Towong (S),62963,3609,1426,1946,1077,,,,,
